slug,genre,title,content_status,portfolio_block,intent_type,seo_tier,seo_score,auto_decision,merge_target,primary_keyword_hint,rationale,in_keep_core,field_id,field_match,is_custom_slug,expert_pass,slug_cluster,manual_decision,notes
field-rights-calculation,分野別対策,メンタルヘルス・マネジメント検定II種の職場環境・配慮の数値,archived,E分野,do,B,6,skip,field-rights-basics,メンタルヘルス・マネジメント検定II種の職場環境・配慮の数値,非公開（archived）,no,rights,ok,no,no,field,,
field-rights-case-study,分野別対策,メンタルヘルス・マネジメント検定II種の職場環境・配慮の事例・ケース,archived,E分野,do,B,6,skip,field-rights-basics,メンタルヘルス・マネジメント検定II種の職場環境・配慮の事例・ケース,非公開（archived）,no,rights,ok,no,no,field,,
field-rights-frequent-topics,分野別対策,メンタルヘルス・マネジメント検定II種の職場環境・配慮の頻出論点,archived,E分野,do,B,6,skip,field-rights-basics,メンタルヘルス・マネジメント検定II種の職場環境・配慮の頻出論点,非公開（archived）,no,rights,ok,no,no,field,,
simulation-exam-schedule,過去問活用,メンタルヘルス・マネジメント検定II種の模試日程と学習計画,archived,E過去問,do,A,34,skip,,メンタルヘルス・マネジメント検定II種の模試日程と学習計画,非公開（archived）,no,,n/a,no,no,other,,
ichimon-practice,過去問活用,メンタルヘルス・マネジメント検定II種の一問一答の活用法,archived,E過去問,do,B,28,skip,,メンタルヘルス・マネジメント検定II種の一問一答の活用法,非公開（archived）,no,,n/a,no,no,other,,
past-questions-by-year,過去問活用,メンタルヘルス・マネジメント検定II種の年度別過去問の解き方,archived,E過去問,do,B,28,skip,,メンタルヘルス・マネジメント検定II種の年度別過去問の解き方,非公開（archived）,no,,n/a,no,no,other,,
past-questions-first-attempt,過去問活用,メンタルヘルス・マネジメント検定II種の過去問の初回の解き方,archived,E過去問,do,B,28,skip,,メンタルヘルス・マネジメント検定II種の過去問の初回の解き方,非公開（archived）,no,,n/a,no,no,other,,
past-questions-latest-year,過去問活用,メンタルヘルス・マネジメント検定II種の最新年度過去問の活用法,archived,E過去問,do,B,28,skip,,メンタルヘルス・マネジメント検定II種の最新年度過去問の活用法,非公開（archived）,no,,n/a,no,no,other,,
exam-day-time-allocation,直前・当日,メンタルヘルス・マネジメント検定II種の試験当日の時間配分,archived,F直前,do,A,8,skip,final-day-checklist,メンタルヘルス・マネジメント検定II種の試験当日の時間配分,非公開（archived）,no,,n/a,no,no,other,,
exam-day-troubleshooting,直前・当日,メンタルヘルス・マネジメント検定II種の試験当日のトラブル対応,archived,F直前,do,A,8,skip,final-day-checklist,メンタルヘルス・マネジメント検定II種の試験当日のトラブル対応,非公開（archived）,no,,n/a,no,no,other,,
final-mock-last-run,直前・当日,メンタルヘルス・マネジメント検定II種の直前模試の受け方,archived,F直前,do,A,8,skip,final-day-checklist,メンタルヘルス・マネジメント検定II種の直前模試の受け方,非公開（archived）,no,,n/a,no,no,other,,
final-scope-narrowing,直前・当日,メンタルヘルス・マネジメント検定II種の直前の範囲絞り込み,archived,F直前,do,A,8,skip,final-day-checklist,メンタルヘルス・マネジメント検定II種の直前の範囲絞り込み,非公開（archived）,no,,n/a,no,no,other,,
final-sleep-and-health,直前・当日,メンタルヘルス・マネジメント検定II種の直前の睡眠と健康管理,archived,F直前,do,A,8,skip,final-day-checklist,メンタルヘルス・マネジメント検定II種の直前の睡眠と健康管理,非公開（archived）,no,,n/a,no,no,other,,
final-week-prep,直前・当日,メンタルヘルス・マネジメント検定II種の直前1週間の対策,archived,F直前,do,A,8,skip,final-day-checklist,メンタルヘルス・マネジメント検定II種の直前1週間の対策,非公開（archived）,no,,n/a,no,no,other,,
mental-prep-exam-day,直前・当日,メンタルヘルス・マネジメント検定II種の試験当日のメンタル対策,archived,F直前,do,A,8,skip,final-day-checklist,メンタルヘルス・マネジメント検定II種の試験当日のメンタル対策,非公開（archived）,no,,n/a,no,no,other,,
eligibility-myths,注意点・更新,メンタルヘルス・マネジメント検定II種の受験資格の誤解,archived,G合格後,do,A,30,skip,,メンタルヘルス・マネジメント検定II種の受験資格の誤解,非公開（archived）,no,,n/a,no,no,other,,
career-after-qualification,注意点・更新,メンタルヘルス・マネジメント検定II種の合格後のキャリア,archived,G合格後,do,C,18,skip,,メンタルヘルス・マネジメント検定II種の合格後のキャリア,非公開（archived）,no,,n/a,no,no,other,,
common-misconceptions,注意点・更新,メンタルヘルス・マネジメント検定II種のよくある誤解,archived,G合格後,do,C,18,skip,,メンタルヘルス・マネジメント検定II種のよくある誤解,非公開（archived）,no,,n/a,no,no,other,,
difficulty-myths,注意点・更新,メンタルヘルス・マネジメント検定II種の難易度の誤解,archived,G合格後,do,C,18,skip,,メンタルヘルス・マネジメント検定II種の難易度の誤解,非公開（archived）,no,,n/a,no,no,other,,
pass-only-past-questions-myth,注意点・更新,メンタルヘルス・マネジメント検定II種の過去問だけで合格できる誤解,archived,G合格後,do,C,18,skip,,メンタルヘルス・マネジメント検定II種の過去問だけで合格できる誤解,非公開（archived）,no,,n/a,no,no,other,,
study-hours-myth,注意点・更新,メンタルヘルス・マネジメント検定II種の勉強時間の神話,archived,G合格後,do,C,18,skip,,メンタルヘルス・マネジメント検定II種の勉強時間の神話,非公開（archived）,no,,n/a,no,no,other,,
exam-changes,注意点・更新,メンタルヘルス・マネジメント検定II種の試験制度の変更点,archived,G合格後,do,C,6,skip,syllabus-how-to-read,メンタルヘルス・マネジメント検定II種の試験制度の変更点,非公開（archived）,no,,n/a,no,no,other,,
fail-retry-plan,注意点・更新,メンタルヘルス・マネジメント検定II種の不合格からの再受験計画,archived,G合格後,do,C,6,skip,retake-strategy,メンタルヘルス・マネジメント検定II種の不合格からの再受験計画,非公開（archived）,no,,n/a,no,no,other,,
legal-revision-impact,注意点・更新,メンタルヘルス・マネジメント検定II種の法改正の学習への影響,archived,G合格後,do,C,6,skip,syllabus-how-to-read,メンタルヘルス・マネジメント検定II種の法改正の学習への影響,非公開（archived）,no,,n/a,no,no,other,,
official-info-update-habits,注意点・更新,メンタルヘルス・マネジメント検定II種の公式情報の更新確認習慣,archived,G合格後,do,C,6,skip,syllabus-how-to-read,メンタルヘルス・マネジメント検定II種の公式情報の更新確認習慣,非公開（archived）,no,,n/a,no,no,other,,
retake-schedule-adjustment,注意点・更新,メンタルヘルス・マネジメント検定II種の再受験の日程調整,archived,G合格後,do,A,6,skip,retake-strategy,メンタルヘルス・マネジメント検定II種の再受験の日程調整,非公開（archived）,no,,n/a,no,no,other,,
syllabus-update-tracker,注意点・更新,メンタルヘルス・マネジメント検定II種のシラバス·出題範囲の更新追跡,archived,G合格後,do,C,6,skip,syllabus-how-to-read,メンタルヘルス・マネジメント検定II種のシラバス·出題範囲の更新追跡,非公開（archived）,no,,n/a,no,no,other,,
calculation-drill,用語ハブ活用法,メンタルヘルス・マネジメント検定II種の計算ドリル,archived,H用語導線,know,C,4,skip,,メンタルヘルス・マネジメント検定II種の計算ドリル,非公開（archived）,no,,n/a,no,no,other,,
confusing-terms,用語ハブ活用法,メンタルヘルス・マネジメント検定II種の混同しやすい用語,archived,H用語導線,know,C,4,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種の混同しやすい用語,非公開（archived）,no,,n/a,no,no,other,,
formula-memorization,用語ハブ活用法,メンタルヘルス・マネジメント検定II種の公式・計算式の覚え方,archived,H用語導線,know,C,4,skip,study-plan,メンタルヘルス・マネジメント検定II種の公式・計算式の覚え方,非公開（archived）,no,,n/a,no,no,other,,
glossary-study-method,用語ハブ活用法,メンタルヘルス・マネジメント検定II種の用語集の活用法,archived,H用語導線,know,C,4,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種の用語集の活用法,非公開（archived）,no,,n/a,no,no,other,,
important-terms-list,用語ハブ活用法,メンタルヘルス・マネジメント検定II種の重要用語の押さえ方,archived,H用語導線,know,C,4,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種の重要用語の押さえ方,非公開（archived）,no,,n/a,no,no,other,,
numbers-and-deadlines,用語ハブ活用法,メンタルヘルス・マネジメント検定II種の数字・期限のまとめ方,archived,H用語導線,know,C,4,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種の数字・期限のまとめ方,非公開（archived）,no,,n/a,no,no,other,,
numeric-trap-choices,用語ハブ活用法,メンタルヘルス・マネジメント検定II種の数値問題の引っかけ,archived,H用語導線,know,C,4,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種の数値問題の引っかけ,非公開（archived）,no,,n/a,no,no,other,,
rate-and-percentage,用語ハブ活用法,メンタルヘルス・マネジメント検定II種の割合·パーセント問題,archived,H用語導線,know,C,4,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種の割合·パーセント問題,非公開（archived）,no,,n/a,no,no,other,,
related-terms-navigation,用語ハブ活用法,メンタルヘルス・マネジメント検定II種の関連用語での回遊,archived,H用語導線,know,C,4,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種の関連用語での回遊,非公開（archived）,no,,n/a,no,no,other,,
terms-importance-levels,用語ハブ活用法,メンタルヘルス・マネジメント検定II種の用語の重要度の見方,archived,H用語導線,know,C,4,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種の用語の重要度の見方,非公開（archived）,no,,n/a,no,no,other,,
terms-with-past-questions,用語ハブ活用法,メンタルヘルス・マネジメント検定II種の用語と過去問の併用,archived,H用語導線,know,C,4,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種の用語と過去問の併用,非公開（archived）,no,,n/a,no,no,other,,
mhfa-basics,分野別対策,メンタルヘルス・マネジメント検定II種のMHFAの考え方と試験との関係,archived,I固有,do,B,36,skip,,メンタルヘルス・マネジメント検定II種のMHFAの考え方と試験との関係,非公開（archived）,no,,n/a,yes,no,other,,
work-life-balance,分野別対策,メンタルヘルス・マネジメント検定II種のワークライフバランス（WLB）と職場でできること,archived,I固有,do,B,36,skip,,メンタルヘルス・マネジメント検定II種のワークライフバランス（WLB）と職場でできること,非公開（archived）,no,,n/a,yes,no,other,,
chapter1-basics-review,出題・形式,メンタルヘルス・マネジメント検定II種｜第1章・基礎・役割の総復習｜領域①と4つのケア,archived,I固有,do,C,30,skip,,メンタルヘルス・マネジメント検定II種｜第1章・基礎・役割の総復習｜領域①と4つのケア,非公開（archived）,no,,n/a,yes,no,other,,
health-checkup-mental,試験概要,メンタルヘルス・マネジメント検定II種の健康診断とメンタルヘルス,archived,I固有,do,C,30,skip,,メンタルヘルス・マネジメント検定II種の健康診断とメンタルヘルス,非公開（archived）,no,,n/a,yes,no,other,,
health-promotion-plan,試験概要,メンタルヘルス・マネジメント検定II種の健康保持増進計画·健康経営,archived,I固有,do,C,30,skip,,メンタルヘルス・マネジメント検定II種の健康保持増進計画·健康経営,非公開（archived）,no,,n/a,yes,no,other,,
active-listening,用語ハブ活用法,メンタルヘルス・マネジメント検定II種の傾聴・アクティブリスニング,archived,I固有,know,C,8,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種の傾聴・アクティブリスニング,非公開（archived）,no,,n/a,yes,no,other,,
eap-guide,用語ハブ活用法,メンタルヘルス・マネジメント検定II種,archived,I固有,know,C,8,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種,非公開（archived）,no,,n/a,yes,no,other,,
exam-day-guide,直前・当日,試験当日の流れと注意点｜メンタルヘルス二種マスター受験ガイド,archived,I固有,do,A,8,skip,study-plan,試験当日の流れと注意点｜メンタルヘルス二種マスター受験ガイド,非公開（archived）,no,,n/a,yes,no,other,,
line-care,用語ハブ活用法,メンタルヘルス・マネジメント検定II種,archived,I固有,know,C,8,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種,非公開（archived）,no,,n/a,yes,no,other,,
occupational-physician,用語ハブ活用法,メンタルヘルス・マネジメント検定II種,archived,I固有,know,C,8,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種,非公開（archived）,no,,n/a,yes,no,other,,
power-harassment,用語ハブ活用法,メンタルヘルス・マネジメント検定II種のパワーハラスメント（パワハラ）,archived,I固有,know,C,8,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種のパワーハラスメント（パワハラ）,非公開（archived）,no,,n/a,yes,no,other,,
reasonable-accommodation,用語ハブ活用法,メンタルヘルス・マネジメント検定II種の合理的配慮,archived,I固有,know,C,8,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種の合理的配慮,非公開（archived）,no,,n/a,yes,no,other,,
retake-exam-guide,独学対策,メンタルヘルス・マネジメント検定II種の不合格からの再受験,archived,I固有,do,B,8,skip,study-plan,メンタルヘルス・マネジメント検定II種の不合格からの再受験,非公開（archived）,no,,n/a,yes,no,other,,
safety-consideration,用語ハブ活用法,メンタルヘルス・マネジメント検定II種の安全配慮義務,archived,I固有,know,C,8,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種の安全配慮義務,非公開（archived）,no,,n/a,yes,no,other,,
sexual-harassment,用語ハブ活用法,メンタルヘルス・マネジメント検定II種のセクシュアルハラスメント（セクハラ）,archived,I固有,know,C,8,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種のセクシュアルハラスメント（セクハラ）,非公開（archived）,no,,n/a,yes,no,other,,
stress-check,用語ハブ活用法,メンタルヘルス・マネジメント検定II種のストレスチェック制度,archived,I固有,know,C,8,skip,glossary-how-to,メンタルヘルス・マネジメント検定II種のストレスチェック制度,非公開（archived）,no,,n/a,yes,no,other,,
affiliate-qualification-support-service,受験・申込,メンタルヘルス・マネジメント検定II種の受験支援サービスの選び方,draft,Jアフィ,buy,A,62,skip,,メンタルヘルス・マネジメント検定II種の受験支援サービスの選び方,非公開（draft）,no,,n/a,no,no,affiliate,,
affiliate-beginner-material-set,学習計画,メンタルヘルス・マネジメント検定II種の初学者向け教材セット,draft,Jアフィ,buy,B,56,skip,,メンタルヘルス・マネジメント検定II種の初学者向け教材セット,非公開（draft）,no,,n/a,no,no,affiliate,,
affiliate-correspondence-course,独学対策,メンタルヘルス・マネジメント検定II種の通信講座比較【2026年度版·独学併用】,draft,Jアフィ,buy,B,56,skip,,メンタルヘルス・マネジメント検定II種の通信講座比較【2026年度版·独学併用】,非公開（draft）,no,,n/a,no,no,affiliate,,
affiliate-cram-school,独学対策,メンタルヘルス・マネジメント検定II種の資格学校・通学講座の選び方,draft,Jアフィ,buy,B,56,skip,,メンタルヘルス・マネジメント検定II種の資格学校・通学講座の選び方,非公開（draft）,no,,n/a,no,no,affiliate,,
affiliate-free-vs-paid-study,独学対策,メンタルヘルス・マネジメント検定II種の無料と有料教材の使い分け,draft,Jアフィ,buy,B,56,skip,,メンタルヘルス・マネジメント検定II種の無料と有料教材の使い分け,非公開（draft）,no,,n/a,no,no,affiliate,,
affiliate-mock-exam-materials,過去問活用,メンタルヘルス・マネジメント検定II種の模試・予想問題の選び方,draft,Jアフィ,buy,B,56,skip,,メンタルヘルス・マネジメント検定II種の模試・予想問題の選び方,非公開（draft）,no,,n/a,no,no,affiliate,,
affiliate-online-course-compare,独学対策,メンタルヘルス・マネジメント検定II種のオンライン講座比較【動画·2026年度版】,draft,Jアフィ,buy,B,56,skip,,メンタルヘルス・マネジメント検定II種のオンライン講座比較【動画·2026年度版】,非公開（draft）,no,,n/a,no,no,affiliate,,
affiliate-retake-short-course,学習計画,メンタルヘルス・マネジメント検定II種の再受験者向け短期講座,draft,Jアフィ,buy,B,56,skip,,メンタルヘルス・マネジメント検定II種の再受験者向け短期講座,非公開（draft）,no,,n/a,no,no,affiliate,,
